امنیت پایگاه  داده	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	69	"مي‌بايست سياستي براي كاركردهاي مجاز و غيرمجاز از حساب كاربري مدير اجرايي پايگاه داده فراهم نمود و آن را به مديران اجرايي پايگاه داده ابلاغ نمود. در اين مستند مي‌بايست به صورت شفاف عنوان شود كه حساب كاربري مدير اجرايي پايگاه داده مي‌بايست تنها براي نگهداري و مديريت پايگاه داده، استفاده شود. در حقيقت، تغيير در اشيا و داده‌هاي پايگاه داده و هر مؤلفه‌اي از پايگاه داده كه به برنامه كاربردي مرتبط مي‌شود، مي‌بايست توسط مالك برنامه كاربردي انجام شود نه مدير اجرايي، بنابراين مدير اجرايي نمي‌بايست اقدام به فعاليت‌هايي كه مربوط به داده‌ها و اشياي پايگاه داده نمايد."			
	70	"رمزهاي عبور را در دوره زماني حداقل 60 روزه تغيير دهيد. برخي از DBMS‌ها امكان تنظيم براي تعيين دوره زماني انقضاء رمز عبور را دارا مي‌باشند، در صورت وجود اين پيكربندي را اعمال نماييد."			
	71	"مي‌بايست مراقب بود كه حساب‌هاي كاربري DBMS‌مورد استفاده مجدد تا 10 تغيير يا در يك سال قرار نگيرد. معمولاً در صورتي كه DBMS‌قابليت تنظيم را داشته باشد، اين كنترل قابليت پياده‌سازي بهتري را دارا است."			
	72	رمزهاي عبوري كه استفاده مي‌شوند مي بايست حداقل داراي 8 كاركتر با تركيبي از حروف و اعداد و كاراكترهاي خاص باشند.			
	73	رمز‌هاي عبور پيش‌فرض پايگاه داده را به مقداري غير پيش‌فرض تغيير دهيد.			
	74	"DBMS را براي رمز نمودن اطلاعات رمز عبور حساب‌هاي كاربري ورود به DBMS، پيكربندي نماييد. در صورتي كه DBMS قابليت پيكربندي رمزنگاري را دارا نيست، اين قابليت را در سطح سيستم عامل يا شبكه فراهم نماييد."			
	75	مي‌بايست رمز‌هاي عبور موجود در برنامه‌هاي كاربردي و فايل‌هاي اجرايي مبتني بر سياست رمزنگاري سازمان به صورت رمز شده نگهداري نمود.			
	76	مي‌بايست نام حساب‌هاي كاربري پيش‌فرض تغيير داده شوند (در صورتي كه امكان تغيير توسط DBMS فراهم شده باشد).			
	77	"مي‌بايست در صورتي كه DBMS قابليت قفل نمودن حساب كاربري را دارا است، پيكربندي‌هاي لازم را انجام داد.       (درصورت تشخيص اقدام به تلاش‌هاي سعي و خطا براي كشف رمز عبور حساب كاربري)"			
	78	"برخي از DBMSها قابليت كنترل جريان اتصال به پايگاه داده را دارند، لذا در صورت وجود چنين مكانيزمي در DBMS، مي بايست تنظيمات مورد نياز اعمال و مستند شوند."			
	79	"مي‌بايست روش‌هاي خودكاري براي تشخيص و اعلام تلاش‌هاي موفق و غيرموفق به DBMS پياده‌سازي شوند. برخي از DBMSها قابليت رويدادنگاري از تلاش‌هاي ورود را فراهم مي‌نمايند، مي‌بايست علاوه بر تنظيم پيكربندي براي رويدادنگاري، ابزارهاي خاص منظور‌ه اي نيز براي اعلام اين رويدادها، فراهم نمود."			
	80	"سياست‌هاي مميزي از فعاليت‌هاي با استفاده از قابليت‌هاي DBMS شامل موارد زير مي‌باشد.
- مميزي از رويداد‌هاي تغيير تنظيمات رويدادنگاري از تلاش‌هاي موفق و ناموفق به DBMS
- مميزي از تلاش‌هاي موفق و ناموفق به DBMS
- مميزي از رويداد‌هاي تغيير تنظيمات وضعيت قفل كردن حساب كاربري (قفل كردن/باز كردن)
- مميزي از رويداد‌قفل شدن يك اتصال به پايگاه داده
- مميزي از غير فعال كردن حساب كاربر از يك مكان منبع خاص
- مميزي از فعال كردن يا غير فعال نمودن مديريت از راه دور به DBMS
- مميزي از اقدام‌هايي كه توسط كاربراني كه از راه دور به DBMS متصل مي‌شوند
- مميزي از هرگونه اقداماتي كه در راستاي تنظيم امتياز دسترسي اشياي پايگاه داده انجام مي‌شود
- تلاش‌هاي دسترسي به اشياي پايگاه داده يا تلاش‌هايي كه براي دسترسي به شي‌هايي كه وجود ندارد، انجام مي‌شود
- در تمامي موارد فوق، اطلاعاتي از قبيل شناسه كاربري، تاريخ، زمان و نوع رويداد مي‌بايست براي ركوردهاي مميزي پيكربندي شوند."			
	81	پورت‌هاي listener شبكه DBMS را براي پورت‌هاي ايستا پيكربندي نماييد.			
	82	"استفاده از پروتكل‌ها، سرويس‌ها و پورت‌هاي استانداردي كه توسط توليدكننده DBMS ارائه شده است."			
	83	مي‌بايست قابليت دسترسي از راه دور به DBMS را غير فعال نمود.			
	84	روشي خودكار براي پايش دسترسي‌ها و امتيازهاي دسترسي DBA توصيه مي‌شود.			
	85	مي‌بايست با عنايت به نوع DBMS از يك ابزار خودكار مناسب براي پايش و تنظيم آلارم استفاده نمود. در اين مورد ممكن است كه ابزار موردنظر در محصول DBMS موجود باشد			
